target_word_unique,avgRT_related,avgRT_unrelated,avgZ_RT_related,avgZ_RT_unrelated,seRT_related,seRT_unrelated,seZ_RT_related,seZ_RT_unrelated,target_sample_keep_related,target_sample_keep_unrelated,avgRT_prime,avgZ_prime
sufficient,625.0430718,621.3199157,-0.226801724,-0.200065915,9.688661972,10.80366162,0.031477134,0.031913625,390,332,-3.723156153,0.026735808
actor,539.2355014,535.5152692,-0.495686143,-0.514810843,8.269815707,8.961791444,0.032031605,0.029644157,355,338,-3.7202322,-0.0191247
silence,553.2378571,549.5321755,-0.503984035,-0.45233865,8.632084259,9.451377546,0.028855511,0.031004763,371,376,-3.705681611,0.051645385
sermon,708.0945311,704.4820882,0.178777953,0.103142393,14.16109032,15.89444312,0.047794657,0.051872567,273,238,-3.612442909,-0.075635559
medal,573.3696394,569.8892443,-0.378560515,-0.3814065,10.27436633,10.09247768,0.033824048,0.034786254,366,348,-3.480395084,-0.002845985
depression,584.7079657,581.3977642,-0.356248458,-0.358320404,9.756946386,9.655068547,0.033080359,0.028583214,321,369,-3.31020152,-0.002071946
sabotage,662.7000932,659.4542277,-0.000417209,-0.012184531,10.37943847,9.913577908,0.035319951,0.03471076,322,325,-3.245865464,-0.011767322
stone,526.963728,523.7245738,-0.584031024,-0.604043271,8.605432599,8.43412302,0.029347049,0.026959435,375,359,-3.239154167,-0.020012247
surface,564.5810515,561.3487016,-0.403917006,-0.442001765,8.522123093,8.930948249,0.028728953,0.029632277,388,372,-3.232349919,-0.038084759
bruise,584.0724892,580.9631096,-0.342869383,-0.3300659,10.93547392,9.539927315,0.033184085,0.030516813,370,356,-3.109379623,0.012803483
nervous,541.8145405,538.7136578,-0.473255581,-0.506759117,8.496421769,7.839846502,0.028879464,0.025683037,370,377,-3.100882714,-0.033503536
talent,552.2694416,549.3230451,-0.489472036,-0.525890399,9.565813546,8.755880467,0.030191147,0.026758677,360,377,-2.946396544,-0.036418364
indicate,651.9467841,649.0083994,-0.07376939,-0.089400724,10.16119678,11.79183195,0.034022166,0.040097483,352,333,-2.938384677,-0.015631335
scientist,580.0797224,577.3704805,-0.379007548,-0.382980713,9.169722737,10.38999975,0.027664103,0.033387705,353,333,-2.709241897,-0.003973165
repair,560.4054098,557.93175,-0.433740025,-0.417343348,8.165459325,8.679897764,0.027614984,0.02829082,388,412,-2.473659797,0.016396677
apartment,571.6812121,569.2326557,-0.39824366,-0.378608151,9.618454461,8.877376221,0.030958987,0.029945943,330,366,-2.44855638,0.019635509
district,587.4724127,585.1287863,-0.339537906,-0.345708843,9.620769686,9.733469934,0.030824828,0.031170731,378,365,-2.343626379,-0.006170937
highness,605.322129,602.9957325,-0.295220785,-0.250389897,13.03272166,10.24686287,0.037545537,0.031866418,341,385,-2.326396564,0.044830888
tunnel,566.6975561,564.3893446,-0.398777732,-0.387544036,8.990135364,8.571238815,0.031041108,0.028265299,374,354,-2.308211509,0.011233697
thank,547.4699682,545.2447622,-0.507763426,-0.489880729,10.03755689,8.93401409,0.033162166,0.030602008,346,349,-2.22520604,0.017882698
excuse,559.6074884,557.4313314,-0.471801799,-0.46625892,10.42071466,10.18316651,0.030662159,0.030919841,344,338,-2.176156998,0.005542879
build,553.7622507,551.6155894,-0.453326869,-0.464729307,9.593100963,9.876796721,0.03060355,0.031859652,339,358,-2.146661351,-0.011402438
heavenly,614.0882292,612.1146455,-0.24061735,-0.213572693,12.01142796,10.74274811,0.034860577,0.035513783,336,347,-1.973583641,0.027044657
shoe,546.1807878,544.2183494,-0.476905407,-0.487321039,9.272293345,10.15861588,0.032751323,0.032457381,344,352,-1.962438363,-0.010415633
great,528.6626743,526.7314404,-0.54791673,-0.580826116,9.298477384,9.218758034,0.031400525,0.028682106,367,361,-1.9312339,-0.032909386
disappearance,647.6653837,645.8664561,-0.067366359,-0.071191462,11.05750528,12.10903169,0.03651199,0.037070112,344,353,-1.798927637,-0.003825104
maintenance,632.3273561,630.5861166,-0.168723541,-0.120454046,10.1499888,9.320003291,0.031420442,0.032233246,351,326,-1.741239562,0.048269494
telephone,569.2113182,567.5675672,-0.403365526,-0.393443982,9.779409797,8.519023632,0.029839532,0.027944409,352,372,-1.643750985,0.009921544
price,531.1560577,529.5324846,-0.545159112,-0.558224378,8.20820267,8.105670888,0.027623688,0.029052111,381,357,-1.623573147,-0.013065266
privacy,558.9963701,557.4178483,-0.444420257,-0.441225113,9.795505542,8.14852385,0.031419653,0.027635786,381,356,-1.578521769,0.003195145
pregnancy,567.8796154,566.3332927,-0.419762236,-0.376293873,7.881539706,8.034014294,0.023164651,0.027794525,377,345,-1.546322667,0.043468363
light,532.4679022,530.9525337,-0.537137035,-0.535197945,9.197139845,8.837360438,0.029126443,0.031014755,368,371,-1.515368456,0.001939091
coffee,517.6324676,516.1409848,-0.616053923,-0.587042649,7.164973619,7.813795403,0.024044102,0.02861015,370,373,-1.491482756,0.029011274
assumption,616.1542997,614.7227138,-0.193077581,-0.186324132,10.28715691,9.056138227,0.032193551,0.029478312,367,311,-1.431585896,0.006753449
writer,548.6661589,547.2507938,-0.518723966,-0.461425447,9.26244571,7.925099605,0.027119861,0.029482831,365,388,-1.415365091,0.057298519
leader,537.4552615,536.0869802,-0.544431226,-0.518862669,8.111139609,8.06425189,0.026526024,0.028111028,371,353,-1.368281293,0.025568557
package,574.0848262,572.8688518,-0.386177761,-0.381025818,8.760738472,8.812720805,0.028841009,0.028378813,374,351,-1.215974375,0.005151943
